ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",5,"45 to 54 Years",2016,"2016",417,184,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.008668717778147348
3,"Foreign Born",6,"55 to 59 Years",2016,"2016",61,36,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.001268085814069516
3,"Foreign Born",7,"60 & 61 Years",2016,"2016",53,41,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.001101779477798104
3,"Foreign Born",8,"62 to 64 Years",2016,"2016",54,33,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0011225677698320307
3,"Foreign Born",9,"65 to 74 Years",2016,"2016",117,53,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0024322301679693997
3,"Foreign Born",10,"75 Years & Over",2016,"2016",111,91,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0023075004157658407
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6045,"2015",2509,411,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.05279548850030512
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6045,"2015",5218,658,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.1097994655219578
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6045,"2015",16718,1173,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.35178755549944235
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6045,"2015",5389,705,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11339772320770995
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6045,"2015",3084,608,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.06489489299917935
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6045,"2015",3317,531,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.06979778212654925
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6045,"2015",1631,411,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.034320223891589334
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6045,"2015",649,289,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.013656545251772826
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6045,"2015",820,292,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.017254802937524988
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6045,"2015",1987,376,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04181133345958799
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6045,"2015",1766,349,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.03716095364349894
